Unit,Country,Province,City
澳门城市大学,中国,澳门,澳门特别行政区
澳门大学,中国,澳门,澳门特别行政区
澳门理工大学,中国,澳门,澳门特别行政区
澳门科技大学,中国,澳门,澳门特别行政区
烟台南山学院,中国,山东,烟台市
烟台大学,中国,山东,烟台市
烟台科技学院,中国,山东,烟台市
煤炭科学研究总院,中国,北京,北京市
煤炭科学研究总院(上海分院),中国,上海,上海市
煤炭科学研究总院(北京开采所),中国,北京,北京市
煤炭科学研究总院(抚顺分院),中国,辽宁,抚顺市
煤炭科学研究总院(重庆分院),中国,重庆,重庆市
燕山大学,中国,河北,秦皇岛市
牡丹江师范学院,中国,黑龙江,牡丹江市
甘肃中医药大学,中国,甘肃,兰州市
甘肃农业大学,中国,甘肃,兰州市
甘肃政法大学,中国,甘肃,兰州市
电信科学技术研究院,中国,北京,北京市
电信科学技术研究院(第一研究所),中国,上海,上海市
电信科学技术研究院(第五研究所),中国,四川,成都市
电子科学研究院,中国,北京,北京市
电子科技大学,中国,四川,成都市
电子科技大学中山学院,中国,广东,中山市
皖西学院,中国,安徽,六安市
盐城工学院,中国,江苏,盐城市
石家庄学院,中国,河北,石家庄市
石家庄经济学院,中国,河北,石家庄市
石家庄铁道大学,中国,河北,石家庄市
石河子大学,中国,新疆,石河子市
石油化工科学研究院,中国,北京,北京市
福州大学,中国,福建,福州市
福州大学阳光学院,中国,福建,福州市
福建农林大学,中国,福建,福州市
福建医科大学,中国,福建,福州市
福建工程学院,中国,福建,福州市
福建师范大学,中国,福建,福州市
福建理工大学,中国,福建,福州市
红河学院,中国,云南,红河哈尼族彝族自治州
纽约大学,美国,纽约州,纽约市
绍兴文理学院,中国,浙江,绍兴市
绵阳师范学院,中国,四川,绵阳市
罗蒙诺索夫莫斯科国立大学,罗斯,莫斯科市,莫斯科
罗马大学,意大利,拉齐奥大区,罗马市
聊城大学,中国,山东,聊城市
自然资源部第一海洋研究所,中国,山东,青岛市
自然资源部第二海洋研究所,中国,浙江,杭州市
苏州大学,中国,江苏,苏州市
苏州大学应用技术学院,中国,江苏,苏州市
苏州科技大学,中国,江苏,苏州市
苏州科技大学天平学院,中国,江苏,苏州市
英国华威大学,英国,英格兰,考文垂
荆楚理工学院,中国,湖北,荆门市
莆田学院,中国,福建,莆田市
莫斯科鲍曼国立技术大学,俄罗斯,莫斯科市,莫斯科
蚌埠学院,中国,安徽,蚌埠市
蚌埠工商学院,中国,安徽,蚌埠市
衡阳师范学院,中国,湖南,衡阳市
西交利物浦大学,中国,江苏,苏州市
西京学院,中国,陕西,西安市
西北农林科技大学,中国,陕西,咸阳市
西北大学,中国,陕西,西安市
西北大学(美国),美国,伊利诺伊州,埃文斯顿
西北大学现代学院,中国,陕西,西安市
西北工业大学,中国,陕西,西安市
西北师范大学,中国,甘肃,兰州市
西北政法大学,中国,陕西,西安市
西北民族大学,中国,甘肃,兰州市
西华大学,中国,四川,成都市
西华师范大学,中国,四川,南充市
西南交通大学,中国,四川,成都市
西南大学,中国,重庆,重庆市
西南政法大学,中国,重庆,重庆市
西南林业大学,中国,云南,昆明市
西南民族大学,中国,四川,成都市
西南石油大学,中国,四川,成都市
西南科技大学,中国,四川,绵阳市
西南财经大学,中国,四川,成都市
西安交通大学,中国,陕西,西安市
西安外国语大学,中国,陕西,西安市
西安工业大学,中国,陕西,西安市
西安工业大学北方信息工程学院,中国,陕西,西安市
西安工程大学,中国,陕西,西安市
西安建筑科技大学,中国,陕西,西安市
西安微电子技术研究所(航天771所),中国,陕西,西安市
西安理工大学,中国,陕西,西安市
西安电子科技大学,中国,陕西,西安市
西安电子科技大学杭州研究院,中国,浙江,杭州市
西安石油大学,中国,陕西,西安市
西安科技大学,中国,陕西,西安市
西安财经大学,中国,陕西,西安市
西安邮电大学,中国,陕西,西安市
西昌学院,中国,四川,西昌市
西藏农牧学院,中国,西藏,林芝市
西藏大学,中国,西藏,拉萨市
西藏民族大学,中国,陕西,咸阳市
诺丁汉大学,英国,英格兰,诺丁汉
谢菲尔德大学,英国,英格兰,谢菲尔德
贵州医科大学,中国,贵州,贵阳市
贵州大学,中国,贵州,贵阳市
贵州师范大学,中国,贵州,贵阳市
贵州师范学院,中国,贵州,贵阳市
贵州民族大学,中国,贵州,贵阳市
贵州财经大学,中国,贵州,贵阳市
贵州黔南科技学院,中国,贵州,黔南布依族苗族自治州
贵阳信息科技学院,中国,贵州,贵阳市
贵阳学院,中国,贵州,贵阳市
赣南师范大学,中国,江西,赣州市
赣南科技学院,中国,江西,赣州市
赤峰学院,中国,内蒙古,赤峰市
辽宁中医药大学,中国,辽宁,沈阳市
辽宁大学,中国,辽宁,沈阳市
辽宁工业大学,中国,辽宁,锦州市
辽宁工程技术大学,中国,辽宁,阜新市
辽宁师范大学,中国,辽宁,大连市
辽宁石油化工大学,中国,辽宁,抚顺市
辽宁科技大学,中国,辽宁,鞍山市
达姆施塔特工业大学,德国,黑森州,达姆施塔特
运城学院,中国,山西,运城市
遵义师范学院,中国,贵州,遵义市
邵阳学院,中国,湖南,邵阳市
郑州升达经贸管理学院,中国,河南,郑州市
郑州大学,中国,河南,郑州市
郑州机械研究所有限公司,中国,河南,郑州市
郑州航空工业管理学院,中国,河南,郑州市
郑州轻工业大学,中国,河南,郑州市
重庆三峡学院,中国,重庆,重庆市
重庆交通大学,中国,重庆,重庆市
重庆医科大学,中国,重庆,重庆市
重庆地质灾害防治工程技术研究中心,中国,重庆,重庆市
重庆城市科技学院,中国,重庆,重庆市
重庆大学,中国,重庆,重庆市
重庆工商大学,中国,重庆,重庆市
重庆师范大学,中国,重庆,重庆市
重庆文理学院,中国,重庆,重庆市
重庆理工大学,中国,重庆,重庆市
重庆科技大学,中国,重庆,重庆市
重庆通信学院,中国,重庆,重庆市
重庆邮电大学,中国,重庆,重庆市
金陵科技学院,中国,江苏,南京市
钢铁研究总院,中国,北京,北京市
铜仁学院,中国,贵州,铜仁市
长冈技术科学大学,日本,新潟县,长冈市
长安大学,中国,陕西,西安市
长春大学,中国,吉林,长春市
长春工业大学,中国,吉林,长春市
长春工程学院,中国,吉林,长春市
长春师范大学,中国,吉林,长春市
长春理工大学,中国,吉林,长春市
长江大学,中国,湖北,荆州市
长沙理工大学,中国,湖南,长沙市
闽南师范大学,中国,福建,漳州市
阜阳师范大学,中国,安徽,阜阳市
防灾科技学院,中国,河北,廊坊市
陕西师范大学,中国,陕西,西安市
陕西理工大学,中国,陕西,汉中市
陕西科技大学,中国,陕西,西安市
陕西科技大学镐京学院,中国,陕西,西安市
集美大学,中国,福建,厦门市
霍特国际商学院,美国,马萨诸塞州,波士顿
青岛农业大学,中国,山东,青岛市
青岛大学,中国,山东,青岛市
青岛工学院,中国,山东,青岛市
青岛理工大学,中国,山东,青岛市
青岛科技大学,中国,山东,青岛市
青海大学,中国,青海,西宁市
青海师范大学,中国,青海,西宁市
青海民族大学,中国,青海,西宁市
鞍山师范学院,中国,辽宁,鞍山市
首都师范大学,中国,北京,北京市
首都经济贸易大学,中国,北京,北京市
首都经贸大学,中国,北京,北京市
香港中文大学,中国,香港,香港特别行政区
香港中文大学(深圳),中国,广东,深圳市
香港城市大学,中国,香港,香港特别行政区
香港城市大学(东莞),中国,广东,东莞市
香港大学,中国,香港,香港特别行政区
香港理工大学,中国,香港,香港特别行政区
香港科技大学,中国,香港,香港特别行政区
香港科技大学(广州),中国,广东,广州市
鲁东大学,中国,山东,烟台市
黄冈师范学院,中国,湖北,黄冈市
黄山学院,中国,安徽,黄山市
黄淮学院,中国,河南,驻马店市
黑龙江八一农垦大学,中国,黑龙江,大庆市
黑龙江大学,中国,黑龙江,哈尔滨市
黑龙江工程学院,中国,黑龙江,哈尔滨市
黑龙江科技大学,中国,黑龙江,哈尔滨市
黔南民族师范学院,中国,贵州,黔南布依族苗族自治州
齐鲁工业大学,中国,山东,济南市
齐齐哈尔大学,中国,黑龙江,齐齐哈尔市
