original,standard
郑州轻工业学院,郑州轻工业大学
重庆地区地质灾害防治工程技术研究中心,重庆地质灾害防治工程技术研究中心
重庆市地质灾害防治工程技术研究中心,重庆地质灾害防治工程技术研究中心
长春师范学院,长春师范大学
防化研究院,中国人民解放军防化研究院
陆军军医大学,中国人民解放军陆军军医大学
陆军军官学院,中国人民解放军陆军炮兵防空兵学院
陆军勤务学院,中国人民解放军陆军勤务学院
陆军工程大学,中国人民解放军陆军工程大学
陆军指挥学院,中国人民解放军陆军指挥学院
陆军炮兵防空兵学院,中国人民解放军陆军炮兵防空兵学院
陆军装甲兵学院,中国人民解放军陆军装甲兵学院
陆军防化学院,中国人民解放军陆军防化学院
陕西理工学院,陕西理工大学
陕西科技非常丰富,陕西科技大学
香港中文大学（深圳）,香港中文大学(深圳)
高能物理研究所,中国科学院高能物理研究所
中国科学院声学所东海研究站,中国科学院声学研究所东海研究站
黑龙江科技学院,黑龙江科技大学
