T_id,Sig,Unit
3927,C_unit,澳门科技大学
9455,C_unit,烟台大学
29195,C_unit,煤炭科学研究总院
63192,F_unit,煤炭科学研究总院(上海分院)
77847,S_unit,煤炭科学研究总院(北京开采所)
81339,C_unit,煤炭科学研究总院(重庆分院)
26428,F_unit,煤炭科学研究总院重庆研究院
8502,C_unit,燕山大学
7581,C_unit,牡丹江师范学院
21661,C_unit,甘肃农业大学
73101,C_unit,甘肃政法大学
35999,S_unit,电信科学技术研究院
35999,C_unit,电信科学技术研究院(第一研究所)
89527,S_unit,电信科学技术研究院(第五研究所)
41559,C_unit,电子科学研究院
1399,C_unit,电子科技大学
66612,C_unit,盐城工学院
9730,C_unit,石家庄经济学院
2297,C_unit,石家庄铁道大学
18546,C_unit,石河子大学
432,C_unit,福州大学
373,C_unit,福建农林大学
20960,C_unit,福建工程学院
26,C_unit,福建师范大学
53252,F_unit,空军哈尔滨飞行学院
77957,F_unit,纽约大学
66927,C_unit,绍兴文理学院
5595,C_unit,聊城大学
81331,C_unit,自然资源部第一海洋研究所
87583,C_unit,航天动力技术研究院
51655,C_unit,航天工程大学
139,C_unit,苏州大学
7577,C_unit,苏州科技大学
74566,F_unit,英国华威大学
66908,C_unit,衡阳师范学院
18984,C_unit,西京学院
2546,C_unit,西北农林科技大学
2430,C_unit,西北大学
55255,S_unit,西北大学(美国)
66953,C_unit,西北大学现代学院
115,C_unit,西北工业大学
2600,C_unit,西北师范大学
374,C_unit,西北民族大学
10432,C_unit,西华大学
10442,C_unit,西华师范大学
357,C_unit,西南交通大学
402,C_unit,西南大学
23066,C_unit,西南政法大学
84097,C_unit,西南林业大学
10443,C_unit,西南民族大学
4979,C_unit,西南石油大学
2175,C_unit,西南科技大学
236,C_unit,西南财经大学
117,C_unit,西安交通大学
66954,C_unit,西安外国语大学
18354,C_unit,西安工业大学
8143,C_unit,西安工程大学
206,C_unit,西安建筑科技大学
22122,C_unit,西安微电子技术研究所(航天771所)
4709,C_unit,西安理工大学
242,C_unit,西安电子科技大学
8343,C_unit,西安石油大学
4581,C_unit,西安科技大学
8517,C_unit,西安财经大学
7845,C_unit,西安邮电大学
55464,C_unit,西藏大学
636,C_unit,解放军西安通信学院
44173,F_unit,诺丁汉大学
58886,F_unit,谢菲尔德大学
949,C_unit,贵州大学
41373,C_unit,贵州师范大学
5072,C_unit,贵州民族大学
739,C_unit,贵州财经大学
1560,C_unit,赣南师范大学
84256,C_unit,赤峰学院
14192,C_unit,辽宁中医药大学
22910,C_unit,辽宁大学
5467,C_unit,辽宁工业大学
1334,C_unit,辽宁工程技术大学
14209,C_unit,辽宁师范大学
14114,C_unit,辽宁石油化工大学
1173,C_unit,辽宁科技大学
77775,C_unit,达姆施塔特工业大学
53300,S_unit,遵义师范学院
81344,C_unit,邵阳学院
3659,C_unit,郑州大学
17452,C_unit,郑州航空工业管理学院
17388,C_unit,郑州轻工业大学
22995,C_unit,重庆三峡学院
1022,C_unit,重庆交通大学
44615,S_unit,重庆医科大学
19426,C_unit,重庆地质灾害防治工程技术研究中心
156,C_unit,重庆大学
20133,C_unit,重庆工商大学
5391,C_unit,重庆师范大学
2448,C_unit,重庆理工大学
7487,C_unit,重庆科技学院
8583,C_unit,重庆通信学院
3704,C_unit,重庆邮电大学
67789,C_unit,钢铁研究总院
66935,C_unit,长冈技术科学大学
2091,C_unit,长安大学
18965,C_unit,长春大学
1597,C_unit,长春工业大学
8516,C_unit,长春工程学院
8614,C_unit,长春师范大学
758,C_unit,长春理工大学
10322,C_unit,长江大学
726,C_unit,长沙理工大学
7967,C_unit,闽南师范大学
9508,C_unit,防灾科技学院
3268,C_unit,陕西师范大学
18485,C_unit,陕西理工大学
768,C_unit,陕西科技大学
4616,C_unit,集美大学
53316,S_unit,霍特国际商学院
85,C_unit,青岛大学
3939,C_unit,青岛理工大学
835,C_unit,青岛科技大学
38001,C_unit,青海大学
94142,C_unit,青海师范大学
22453,C_unit,青海民族大学
39057,S_unit,鞍山师范学院
70,C_unit,首都师范大学
1857,C_unit,首都经济贸易大学
1077,C_unit,首都经贸大学
946,C_unit,香港中文大学
18993,C_unit,香港中文大学(深圳)
2648,C_unit,香港城市大学
65476,F_unit,香港大学
72018,F_unit,香港理工大学
19771,C_unit,香港科技大学
66628,C_unit,鲁东大学
5566,C_unit,黄冈师范学院
8479,C_unit,黑龙江八一农垦大学
71,C_unit,黑龙江大学
551,C_unit,黑龙江科技大学
10446,C_unit,黔南民族师范学院
10274,C_unit,齐鲁工业大学
87568,C_unit,齐齐哈尔大学
